rank,title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,explicit
1,Shape of You,Ed Sheeran,pop,2017,2017‑09‑10,96,65,83,-3,9,93,234,58,8,84,0
2,Blinding Lights,The Weeknd,canadian contemporary r&b,2020,2020‑06‑16,171,73,51,-6,9,33,200,0,6,89,0
3,Dance Monkey,Tones And I,australian pop,2019,2020‑02‑12,98,59,82,-6,15,51,209,69,9,77,0
4,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,2018‑02‑04,160,52,59,-6,13,13,218,12,7,82,1
5,Someone You Loved,Lewis Capaldi,pop,2019,2020‑02‑12,110,41,50,-6,11,45,182,75,3,84,0
6,One Dance,Drake,canadian hip hop,2016,2017‑09‑10,104,63,79,-6,33,37,174,1,5,83,0
7,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2018,2019‑06‑01,90,48,76,-6,7,91,158,56,5,82,0
8,Closer,The Chainsmokers,dance pop,2016,2017‑09‑10,95,52,75,-6,11,66,245,41,3,83,0
9,Señorita,Shawn Mendes,canadian pop,2019,2019‑11‑06,117,54,76,-6,9,75,191,4,3,79,0
10,Believer,Imagine Dragons,modern rock,2017,2018‑02‑04,125,78,78,-4,8,67,204,6,13,85,0
11,Perfect,Ed Sheeran,pop,2017,2018‑02‑04,95,45,60,-6,11,17,263,16,2,84,0
12,bad guy,Billie Eilish,art pop,2019,2019‑09‑28,135,43,70,-11,10,56,194,33,38,82,0
13,Say You Won't Let Go,James Arthur,pop,2016,2017‑09‑10,85,56,36,-7,9,49,211,70,6,82,0
14,Thinking out Loud,Ed Sheeran,pop,2014,2017‑09‑10,79,45,78,-6,18,59,282,47,3,81,0
15,Psychodelic,The Tano Jones Revelry,,2022,2022‑04‑26,114,87,69,-7,11,87,274,2,4,39,0
16,Lucid Dreams,Juice WRLD,chicago rap,2018,2019‑02‑16,84,57,51,-7,34,22,240,35,20,83,1
17,The Old Me,LIL GAZ,slowed and reverb,2022,2022‑04‑28,107,74,52,-5,18,82,117,1,14,41,1
18,Jawsome,Chucky Chee$e,,2019,2022‑04‑04,94,83,76,-5,32,69,192,0,18,35,1
19,God's Plan,Drake,canadian hip hop,2018,2018‑05‑29,77,45,75,-9,55,36,199,3,11,81,1
20,Nostalgia,Cristiano,,2022,2022‑03‑20,110,70,62,-8,9,38,188,0,19,40,0
21,Cape Cabo,Player1,traprun,2022,2022‑04‑26,180,73,72,-3,6,83,174,34,28,54,0
22,I Can't Help But Feel,Surfaces,bedroom soul,2022,2022‑04‑02,115,71,72,-5,11,72,179,33,3,70,0
23,Buried Alive,Jan Metternich,,2021,2022‑02‑18,145,53,66,-8,9,34,149,59,3,49,0
24,Don't Start Now,Dua Lipa,dance pop,2020,2020‑07‑17,124,79,79,-5,10,68,183,1,8,80,0
25,Monday Morning,John Yardang,,2022,2022‑04‑28,80,41,61,-14,19,28,256,77,4,25,0
26,10 Things I Hate About You,Leah Kate,alt z,2022,2022‑04‑17,154,79,54,-3,17,45,157,1,5,79,1
27,"Be U (216 Hz) (feat. iann dior) - Inspired by ""Maejor Frequency""",Maejor,detroit hip hop,2022,2022‑04‑12,83,76,55,-5,8,35,235,3,3,58,0
28,Photograph,Ed Sheeran,pop,2014,2017‑09‑10,108,38,61,-10,10,20,259,61,5,82,0
29,MONSTERS!,LaLion,,2022,2022‑04‑11,126,58,74,-7,35,67,170,15,5,39,0
30,Stare In The Abyss,PTM,,2022,2022‑04‑17,176,65,73,-9,13,69,169,14,26,31,1
31,SAD!,XXXTENTACION,emo rap,2018,2018‑10‑13,75,61,74,-5,12,47,167,26,14,82,1
32,Spaceboy,Lightspeed,,2022,2022‑04‑29,155,68,59,-6,18,7,202,12,5,21,1
33,Starboy,The Weeknd,canadian contemporary r&b,2016,2017‑09‑10,186,59,68,-7,14,49,230,14,28,83,1
34,Something Just Like This,The Chainsmokers,dance pop,2017,2017‑09‑24,103,64,62,-7,16,45,247,5,3,82,0
